Patente|Pedimento|SeccionAduanera|FechaFacturacion|NumeroFactura|TerminoFacturacion|MonedaFacturacion|ValorDolares|ValorMonedaExtranjera|PaisFacturacion|EntidadFedFacturacion|IndentFiscalProveedor|ProveedorMercancia|CalleProveedor|NumInteriorProveedor|NumExteriorProveedor|CpProveedor|MunicipioProveedor|FechaPagoReal
3992|5007277|510|2025-08-14|COVE257S5WGX3|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-15 15:27:00|
3992|5007134|510|2025-08-21|COVE257RHZQQ1|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 15:12:02|
3992|5007340|510|2025-09-11|COVE257S34BJ1|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-14 12:50:01|
3992|5007773|510|2025-09-11|COVE257SSG314|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-24 17:19:01|
3992|5007703|510|2025-09-12|COVE257SJYQX1|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-21 16:00:13|
3992|5006868|510|2025-08-18|COVE257RIERN6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 17:09:04|
3992|5007009|510|2025-08-07|COVE257RWDEQ5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-09 15:58:04|
3992|5007164|510|2025-08-04|COVE257RI0EV4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 16:12:03|
3992|5007006|510|2025-08-07|COVE257RWDEQ5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-09 15:58:03|
3992|5007176|510|2025-09-07|COVE257RW6H95|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-09 13:34:03|
3992|5007286|510|2025-08-10|COVE257S0AXG4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-10 18:39:02|
3381|5009421|370|2025-08-04|0C4D1782-100F-450D-B05C-F63B5F91D967|EXW|USD|1841.36|1841.36|HND| |08019025187502|VENTO MOTORCYCLES HONDURAS S.A.|BLV. MORAZAN||S/N|SN|COLONIA LOS ALMENDRO, TEGUCIGALPA|2025-10-24 17:28:01|
3992|5007472|510|2025-09-12|COVE257SJBI74|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-21 16:17:06|
3992|5007419|510|2025-08-29|COVE257SBB1C4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 18:31:03|
3992|5007201|510|2025-08-22|COVE257RZ9K58|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-10 16:23:01|
3992|5007836|510|2025-08-28|COVE257SVG2F3|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 19:03:04|
3992|5007421|510|2025-08-29|COVE257SBB1C4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 18:31:04|
3992|5007118|510|2025-08-18|COVE257RKM1M6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-03 14:21:01|
3992|5007264|510|2025-08-20|COVE257SB7HT2|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:47:06|
3992|5007371|510|2025-08-29|COVE257SBKD11|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:47:10|
3992|5007302|510|2025-09-02|COVE257SCAUC7|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-17 12:02:01|
3920|5001143|650|2025-09-18|COVE257RYFN83|DAP| ||| | |BC1815377|ASIA VNA GROUP LTD||||||2025-10-10 11:03:04|
3992|5007209|510|2025-08-06|COVE257RXHJB4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-09 18:14:01|
3992|5007329|510|2025-09-08|COVE257S7T6V6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-15 13:54:01|
3992|5007375|510|2025-09-02|COVE257SBTBB5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 21:42:01|
3992|5007136|510|2025-08-21|COVE257RHZQQ1|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 15:12:02|
3992|5007120|510|2025-08-27|COVE257RHOK05|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 16:04:03|
3381|5009421|370|2025-09-17|61BA2986-6FBA-4109-BD73-09F83BF83005|EXW|USD|404.42|404.42|HND| |08019025187502|VENTO MOTORCYCLES HONDURAS S.A.|BLV. MORAZAN||S/N|SN|COLONIA LOS ALMENDRO, TEGUCIGALPA|2025-10-24 17:28:01|
3992|5007704|510|2025-08-18|COVE257SIXN82|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-21 16:17:00|
3992|5007735|510|2025-09-16|COVE257STP5G6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 13:10:04|
