Patente|Pedimento|SeccionAduanera|ClaveContribucion|FormaPago|ImportePago|TipoPedimento|FechaPagoReal
3992|5007370|510|15|0|290|1|2025-10-16 19:47:10|
3992|5007118|510|23|0|46|1|2025-10-03 14:21:01|
3992|5007795|510|23|0|46|1|2025-10-28 14:12:02|
3992|5007700|510|1|0|12117|1|2025-10-21 15:50:01|
3992|5007348|510|23|0|46|1|2025-10-17 12:02:03|
3992|5007363|510|1|0|12332|1|2025-10-16 19:47:07|
3992|5007420|510|15|0|290|1|2025-10-16 18:31:04|
3992|5007479|510|23|0|46|1|2025-10-28 12:19:05|
3992|5007682|510|23|0|46|1|2025-10-21 16:19:02|
3992|5007719|510|15|0|290|1|2025-10-21 16:18:07|
3992|5007896|510|1|0|6244|1|2025-10-29 20:28:02|
3992|5007420|510|23|0|46|1|2025-10-16 18:31:04|
3992|5007799|510|1|0|8471|1|2025-10-27 18:47:01|
3992|5007346|510|23|0|46|1|2025-10-17 12:02:01|
3992|5007743|510|23|0|46|1|2025-10-27 13:11:07|
3992|5006752|510|23|0|46|1|2025-10-16 15:07:03|
3992|5007129|510|1|0|11723|1|2025-10-03 14:21:03|
3992|5007392|510|15|0|290|1|2025-10-16 19:48:03|
3992|5007277|510|1|0|14004|1|2025-10-15 15:27:00|
3992|5007708|510|23|0|46|1|2025-10-21 16:17:02|
3992|5007716|510|23|0|46|1|2025-10-21 16:18:06|
3992|5007174|510|1|0|6240|1|2025-10-09 13:34:02|
3992|5007423|510|23|0|46|1|2025-10-16 18:31:05|
3992|5007937|510|15|0|290|1|2025-10-30 17:57:01|
3992|5007448|510|23|0|46|1|2025-10-17 13:31:06|
3992|5007009|510|23|0|46|1|2025-10-09 15:58:04|
3992|5006678|510|15|0|290|1|2025-10-13 14:44:01|
3992|5007368|510|23|0|46|1|2025-10-16 19:47:07|
3992|5007361|510|23|0|46|1|2025-10-16 19:46:03|
3992|5007264|510|1|0|11316|1|2025-10-16 19:47:06|
3992|5007834|510|23|0|46|1|2025-10-27 19:03:02|
3992|5007221|510|23|0|46|1|2025-10-13 11:11:02|
3992|5007308|510|15|0|290|1|2025-10-16 21:23:01|
3992|5007278|510|15|0|290|1|2025-10-15 15:27:01|
3992|5007249|510|1|0|14135|1|2025-10-16 15:07:03|
3992|5006664|510|15|0|290|1|2025-10-10 16:27:03|
3992|5007331|510|23|0|46|1|2025-10-15 13:55:03|
3992|5007276|510|1|0|15321|1|2025-10-28 13:51:03|
3992|5007156|510|23|0|46|1|2025-10-02 15:10:03|
3992|5007115|510|1|0|13904|1|2025-10-10 16:21:01|
3992|5007265|510|15|0|290|1|2025-10-16 19:47:06|
3992|5007219|510|15|0|290|1|2025-10-16 19:47:04|
3992|5007480|510|15|0|290|1|2025-10-28 12:19:06|
3992|5007122|510|23|0|46|1|2025-10-02 16:04:04|
3992|5007831|510|15|0|290|1|2025-10-27 19:03:03|
3992|5006992|510|1|0|12755|1|2025-10-02 16:34:05|
3992|5007103|510|15|0|290|1|2025-10-03 12:37:01|
3992|5007161|510|23|0|46|1|2025-10-02 16:12:03|
3992|5007413|510|15|0|290|1|2025-10-16 19:11:03|
3992|5007825|510|15|0|290|1|2025-10-27 17:43:00|
3992|5007393|510|15|0|290|1|2025-10-16 20:20:01|
3992|5007356|510|15|0|290|1|2025-10-16 19:46:00|
3992|5007397|510|23|0|46|1|2025-10-16 19:48:06|
3992|5007801|510|15|0|290|1|2025-10-27 18:47:02|
3992|5007737|510|1|0|6178|1|2025-10-27 13:10:05|
3992|5007209|510|15|0|290|1|2025-10-09 18:14:01|
3992|5007138|510|23|0|46|1|2025-10-02 15:12:03|
3992|5007346|510|15|0|290|1|2025-10-17 12:02:01|
3992|5007691|510|1|0|4932|1|2025-10-27 17:43:03|
3992|5007692|510|1|0|4932|1|2025-10-27 17:43:03|
3992|5007780|510|1|0|6631|1|2025-10-28 14:10:01|
3992|5007801|510|1|0|8471|1|2025-10-27 18:47:02|
3992|5007783|510|1|0|6840|1|2025-10-27 18:16:01|
